,name,score
727,w2c_v_min_11,0.8
550,w2c_v-d_90,0.8
713,w2c_v_max_28,0.8
549,w2c_v-d_9,0.8
730,w2c_v_min_14,0.8
657,w2c_v-sg_97,0.8
580,w2c_v-sg_27,0.8
215,w2c_d_diff_22,0.8
126,w2c_d_32,0.8
591,w2c_v-sg_37,0.8
698,w2c_v_max_14,0.8
697,w2c_v_max_13,0.8
535,w2c_v-d_77,0.8
623,w2c_v-sg_66,0.8
193,w2c_d_93,0.8
731,w2c_v_min_15,0.8
131,w2c_d_37,0.6
721,w2c_v_max_7,0.6
700,w2c_v_max_16,0.6
143,w2c_d_48,0.6
516,w2c_v-d_6,0.6
47,d_cos_min,0.6
734,w2c_v_min_18,0.6
705,w2c_v_max_20,0.6
628,w2c_v-sg_70,0.6
181,w2c_d_82,0.6
740,w2c_v_min_23,0.6
701,w2c_v_max_17,0.6
741,w2c_v_min_24,0.6
715,w2c_v_max_3,0.4
709,w2c_v_max_24,0.4
737,w2c_v_min_20,0.4
554,w2c_v-d_94,0.4
749,w2c_v_min_31,0.4
719,w2c_v_max_5,0.4
184,w2c_d_85,0.4
164,w2c_d_67,0.4
551,w2c_v-d_91,0.4
548,w2c_v-d_89,0.4
124,w2c_d_30,0.4
745,w2c_v_min_28,0.2
751,w2c_v_min_5,0.2
711,w2c_v_max_26,0.2
644,w2c_v-sg_85,0.2
716,w2c_v_max_30,0.0
728,w2c_v_min_12,0.0
45,d_cos_max,0.0
32,cut_v_12,0.0
61,dis_diff,0.0
68,dis_t_diff,0.0
77,geoid_10_max,0.0
80,geoid_x_mean_v_mean,0.0
6,cut_13,0.0
7,cut_14,0.0
81,hour,0.0
744,w2c_v_min_27,0.0
82,hour_max,0.0
83,hour_min,0.0
84,hour_nunique,0.0
34,cut_v_14,0.0
33,cut_v_13,0.0
